standid,basalarea,stemdensity,dbh,meanheight,effLAI,stembiomass,woodybiomass,pred_basalarea,pred_meanheight,pred_effLAI,pred_stembiomass,set
24129077,22.56,729,21.73,17.55,3.16,76.07,94.81,0.0,0.0,0.0,0.0,training
24129087,31.53,659,26.95,21.35,5.54,123.52,152.98,0.0,0.0,0.0,0.0,training
24129079,30.08,417,32.4,25.21,5.45,131.2,160.62,0.0,0.0,0.0,0.0,training
24129090,26.21,616,25.55,21.37,4.24,108.63,132.22,0.0,0.0,0.0,0.0,training
24129046,23.45,740,23.56,18.49,3.43,84.09,104.56,0.0,0.0,0.0,0.0,training
24128056,18.12,604,20.91,16.88,1.68,57.96,71.91,0.0,0.0,0.0,0.0,training
24127087,25.38,777,22.77,18.19,3.03,88.72,109.37,0.0,0.0,0.0,0.0,training
24127086,31.0,1197,19.9,17.35,4.92,107.09,131.97,0.0,0.0,0.0,0.0,training
24127037,27.76,1172,19.4,16.05,3.71,86.45,108.22,0.0,0.0,0.0,0.0,training
24127040,24.68,746,22.67,17.87,2.48,84.33,103.98,0.0,0.0,0.0,0.0,training
24127093,30.47,680,25.99,20.84,4.17,118.02,144.43,0.0,0.0,0.0,0.0,training
24127094,30.37,566,28.12,22.06,3.86,121.5,148.14,0.0,0.0,0.0,0.0,training
24127041,31.1,1075,21.35,17.8,4.49,107.19,132.7,0.0,0.0,0.0,0.0,training
25036476,19.54,659,21.07,17.1,2.85,64.09,80.34,0.0,0.0,0.0,0.0,training
25036482,32.0,887,23.61,19.2,5.4,115.92,144.26,0.0,0.0,0.0,0.0,training
25036486,32.18,1035,21.94,18.79,5.73,116.7,144.55,0.0,0.0,0.0,0.0,training
25036487,18.26,850,17.99,14.69,3.1,51.3,66.34,0.0,0.0,0.0,0.0,training
25036488,25.22,732,22.82,19.17,4.09,95.86,117.63,0.0,0.0,0.0,0.0,training
25036497,30.6,928,22.55,18.94,5.56,112.56,139.7,0.0,0.0,0.0,0.0,training
25036425,22.38,805,20.6,16.88,3.16,73.76,91.97,0.0,0.0,0.0,0.0,training
25036433,38.65,828,26.72,21.7,6.46,156.3,191.67,0.0,0.0,0.0,0.0,training
24126865,29.52,465,30.63,24.16,5.22,126.96,155.32,0.0,0.0,0.0,0.0,training
24126874,28.81,911,22.37,18.66,4.02,103.62,127.2,0.0,0.0,0.0,0.0,training
24129098,28.97,596,27.17,21.44,4.4,115.57,141.79,0.0,0.0,0.0,0.0,training
24126930,25.94,1118,18.5,16.74,3.68,87.7,107.26,0.0,0.0,0.0,0.0,training
24126870,25.32,1299,17.26,14.78,2.9,72.04,90.3,0.0,0.0,0.0,0.0,training
24126866,22.0,458,26.65,21.04,3.6,85.27,105.54,0.0,0.0,0.0,0.0,training
24126869,27.61,1297,18.32,15.49,2.9,80.92,101.04,0.0,0.0,0.0,0.0,training
25036597,37.94,502,33.23,26.29,6.61,172.99,209.52,0.0,0.0,0.0,0.0,training
24126871,21.4,903,18.74,18.06,3.78,82.92,99.44,0.0,0.0,0.0,0.0,training
25036603,25.28,1015,19.21,18.0,4.15,95.82,115.55,0.0,0.0,0.0,0.0,training
25036607,28.97,1408,17.75,16.07,4.43,95.21,116.93,0.0,0.0,0.0,0.0,training
25036483,28.4,920,22.11,18.22,3.29,98.79,121.3,0.0,0.0,0.0,0.0,training
25036493,30.17,790,24.68,19.55,4.35,110.46,136.58,0.0,0.0,0.0,0.0,training
25036498,32.83,1039,22.28,18.33,5.91,112.64,141.57,0.0,0.0,0.0,0.0,training
24129081,30.38,544,29.03,22.83,5.67,122.77,152.01,0.0,0.0,0.0,0.0,training
24129082,23.79,688,23.14,19.03,4.58,86.01,107.63,0.0,0.0,0.0,0.0,training
24129091,29.83,497,29.8,23.44,5.26,124.33,152.82,0.0,0.0,0.0,0.0,training
24129096,19.51,566,23.24,18.43,2.74,69.57,86.17,0.0,0.0,0.0,0.0,training
24129093,21.41,908,19.11,15.68,3.61,64.0,81.72,0.0,0.0,0.0,0.0,training
24129094,24.85,902,20.47,17.63,4.01,86.18,106.61,0.0,0.0,0.0,0.0,training
24129085,18.26,666,20.42,16.04,2.28,57.09,71.81,0.0,0.0,0.0,0.0,training
24126925,24.5,784,22.02,17.66,2.71,82.12,101.67,0.0,0.0,0.0,0.0,training
24126926,15.71,1525,12.7,10.27,2.08,31.99,42.69,0.0,0.0,0.0,0.0,training
24126928,22.19,941,18.87,15.69,2.96,67.37,84.66,0.0,0.0,0.0,0.0,training
25036505,33.83,400,34.62,27.56,5.51,159.97,192.15,0.0,0.0,0.0,0.0,training
25036512,28.25,919,21.9,18.29,4.57,99.97,123.94,0.0,0.0,0.0,0.0,training
25036508,32.56,935,22.95,19.62,5.78,127.25,156.0,0.0,0.0,0.0,0.0,training
25036501,38.6,462,34.81,27.52,6.09,184.99,221.33,0.0,0.0,0.0,0.0,training
25036477,34.31,521,31.39,23.8,6.43,143.33,177.24,0.0,0.0,0.0,0.0,training
25036478,27.89,1130,19.18,17.03,4.44,95.31,117.48,0.0,0.0,0.0,0.0,training
25036511,9.98,2446,10.83,8.5,0.87,17.99,24.01,0.0,0.0,0.0,0.0,training
25036479,40.9,1147,23.82,19.0,6.01,146.05,181.17,0.0,0.0,0.0,0.0,training
25036480,18.79,568,22.25,19.2,2.78,73.16,88.68,0.0,0.0,0.0,0.0,training
25036481,26.39,1188,18.62,15.97,3.24,82.5,102.17,0.0,0.0,0.0,0.0,training
24129154,28.83,1155,19.47,17.63,4.87,106.76,129.61,0.0,0.0,0.0,0.0,training
24129157,21.19,784,20.44,17.11,2.39,70.44,86.68,0.0,0.0,0.0,0.0,training
24129160,14.11,5151,6.27,6.37,1.28,20.13,27.18,0.0,0.0,0.0,0.0,training
24129193,17.46,509,23.55,19.68,1.99,67.21,81.01,0.0,0.0,0.0,0.0,training
24128683,33.84,503,31.53,24.75,5.62,149.91,182.23,0.0,0.0,0.0,0.0,training
24128682,12.68,2764,8.5,6.74,1.11,18.45,25.27,0.0,0.0,0.0,0.0,training
24128684,13.83,1040,14.15,10.96,1.41,29.64,39.16,0.0,0.0,0.0,0.0,training
24128687,20.12,586,22.37,18.45,4.04,70.41,88.94,0.0,0.0,0.0,0.0,training
25036500,38.17,603,30.89,23.49,5.67,160.37,195.6,0.0,0.0,0.0,0.0,training
25036587,13.84,665,17.43,13.16,1.16,35.7,45.86,0.0,0.0,0.0,0.0,training
25037158,21.8,1059,17.71,14.82,2.46,63.13,79.1,0.0,0.0,0.0,0.0,training
25037170,28.05,1199,18.8,16.81,3.51,93.07,113.71,0.0,0.0,0.0,0.0,training
25037169,24.97,505,27.13,21.77,3.37,103.14,125.2,0.0,0.0,0.0,0.0,training
25037174,39.42,737,28.75,22.25,5.99,161.0,196.92,0.0,0.0,0.0,0.0,training
25037166,14.07,2785,23.49,17.82,1.54,47.77,59.25,0.0,0.0,0.0,0.0,training
25036596,29.59,1260,18.99,16.67,5.51,95.33,119.88,0.0,0.0,0.0,0.0,training
25036573,18.29,974,16.56,14.0,3.07,49.59,64.0,0.0,0.0,0.0,0.0,training
25036600,27.3,633,25.32,19.62,3.66,100.32,124.25,0.0,0.0,0.0,0.0,training
25036575,26.88,847,21.93,18.16,3.77,92.04,114.3,0.0,0.0,0.0,0.0,training
25036580,18.87,1032,16.3,14.59,3.09,55.58,69.79,0.0,0.0,0.0,0.0,training
25036560,20.06,1182,16.66,14.41,3.27,58.49,73.76,0.0,0.0,0.0,0.0,training
25036662,15.01,520,21.12,15.56,1.59,45.33,57.57,0.0,0.0,0.0,0.0,training
25036663,24.09,1428,16.4,13.94,2.91,65.61,82.85,0.0,0.0,0.0,0.0,training
25036520,26.09,694,24.14,19.2,3.97,93.37,116.12,0.0,0.0,0.0,0.0,training
25036642,27.55,1481,17.46,15.63,3.98,84.96,105.26,0.0,0.0,0.0,0.0,training
25036521,31.65,819,25.04,19.57,4.37,116.62,143.79,0.0,0.0,0.0,0.0,training
25036645,18.75,1459,14.58,13.29,3.28,51.35,64.96,0.0,0.0,0.0,0.0,training
25037151,24.04,847,20.84,16.89,2.89,77.85,96.97,0.0,0.0,0.0,0.0,training
25037141,19.92,651,21.7,17.7,2.86,67.82,84.43,0.0,0.0,0.0,0.0,training
25037156,32.45,663,26.93,23.22,4.78,147.05,175.48,0.0,0.0,0.0,0.0,training
25037155,20.44,862,18.92,15.53,2.2,61.53,76.89,0.0,0.0,0.0,0.0,training
25036405,22.35,657,22.97,18.62,3.8,78.03,97.73,0.0,0.0,0.0,0.0,training
25037160,22.7,1045,18.18,14.93,2.36,64.27,80.98,0.0,0.0,0.0,0.0,training
25037149,29.82,788,24.12,19.84,4.87,114.65,141.08,0.0,0.0,0.0,0.0,training
25037173,27.46,893,21.84,18.95,4.1,106.08,128.69,0.0,0.0,0.0,0.0,training
25187732,23.68,1005,18.97,16.42,4.45,76.54,96.31,0.0,0.0,0.0,0.0,training
25187735,16.41,889,16.58,13.23,2.33,42.47,55.08,0.0,0.0,0.0,0.0,training
25187712,9.79,3434,9.43,8.3,1.42,17.17,23.7,0.0,0.0,0.0,0.0,training
24128672,15.14,685,17.52,17.83,2.89,60.12,71.3,0.0,0.0,0.0,0.0,training
25036408,35.31,1155,21.19,18.47,3.19,120.6,146.96,0.0,0.0,0.0,0.0,training
25037154,21.55,721,21.36,18.39,3.73,79.98,98.52,0.0,0.0,0.0,0.0,training
25037150,20.68,699,21.22,18.22,3.42,75.95,93.43,0.0,0.0,0.0,0.0,training
25037163,15.32,777,17.06,13.29,1.65,40.15,51.5,0.0,0.0,0.0,0.0,training
25037098,18.71,1107,15.84,12.78,1.55,46.45,59.24,0.0,0.0,0.0,0.0,training
25037099,13.02,562,18.54,13.52,1.23,34.9,44.98,0.0,0.0,0.0,0.0,training
25037100,18.28,835,17.96,13.87,1.66,49.57,63.16,0.0,0.0,0.0,0.0,training
25037101,14.05,941,14.96,11.47,1.18,31.96,41.55,0.0,0.0,0.0,0.0,training
25037102,17.8,1681,13.35,11.53,2.55,41.83,54.08,0.0,0.0,0.0,0.0,training
25037494,23.67,701,22.99,18.09,3.13,82.18,102.09,0.0,0.0,0.0,0.0,training
25037096,7.94,4775,9.6,9.16,1.21,17.29,22.68,0.0,0.0,0.0,0.0,training
25038269,35.98,1479,19.08,18.2,7.08,138.33,167.71,0.0,0.0,0.0,0.0,training
25038270,37.51,546,32.07,24.56,7.22,160.64,198.14,0.0,0.0,0.0,0.0,training
28168872,34.63,563,30.15,24.26,6.78,149.76,183.82,0.0,0.0,0.0,0.0,training
24127496,13.29,589,18.06,12.91,1.34,34.38,44.79,0.0,0.0,0.0,0.0,training
24127497,12.37,584,17.54,13.62,1.32,33.83,43.11,0.0,0.0,0.0,0.0,training
24127455,17.53,916,17.0,14.18,2.53,50.46,63.79,0.0,0.0,0.0,0.0,training
24127452,12.65,1134,13.17,9.79,1.07,25.6,33.88,0.0,0.0,0.0,0.0,training
24127453,16.35,750,17.85,13.84,1.57,44.78,56.98,0.0,0.0,0.0,0.0,training
24127454,16.79,904,16.54,13.25,1.39,43.75,55.48,0.0,0.0,0.0,0.0,training
24127427,20.95,914,18.82,15.6,3.74,63.79,81.26,0.0,0.0,0.0,0.0,training
24127423,15.63,542,20.6,15.57,1.4,47.42,59.67,0.0,0.0,0.0,0.0,training
24127424,27.73,876,22.2,17.94,3.62,95.89,118.67,0.0,0.0,0.0,0.0,training
24127481,31.08,1198,20.01,17.37,5.21,106.96,132.34,0.0,0.0,0.0,0.0,training
28168807,24.35,620,23.89,18.99,2.1,86.72,106.07,0.0,0.0,0.0,0.0,training
24127342,21.87,967,18.45,14.84,2.09,60.36,76.59,0.0,0.0,0.0,0.0,training
24129206,21.33,1009,18.02,15.56,3.84,66.59,83.85,0.0,0.0,0.0,0.0,training
24129216,13.9,1604,12.18,10.49,1.96,29.9,39.14,0.0,0.0,0.0,0.0,training
24129292,6.52,1792,7.45,8.09,0.87,11.37,14.95,0.0,0.0,0.0,0.0,training
24129299,24.53,1154,17.79,15.89,4.2,78.71,97.99,0.0,0.0,0.0,0.0,training
24126997,14.87,890,15.74,12.09,1.25,35.57,45.94,0.0,0.0,0.0,0.0,training
24129294,11.48,645,16.02,16.42,2.17,43.09,51.2,0.0,0.0,0.0,0.0,training
24129205,30.8,683,26.35,21.43,5.92,121.02,150.08,0.0,0.0,0.0,0.0,training
24126963,12.86,1024,13.89,11.38,2.3,29.43,39.21,0.0,0.0,0.0,0.0,training
24126894,20.86,728,21.21,16.62,3.4,67.42,85.42,0.0,0.0,0.0,0.0,training
24129300,19.6,2139,13.18,13.27,3.16,55.99,68.61,0.0,0.0,0.0,0.0,training
24126998,33.62,684,27.38,21.8,6.46,133.44,165.74,0.0,0.0,0.0,0.0,training
24126958,28.57,703,24.75,20.0,3.92,107.9,132.49,0.0,0.0,0.0,0.0,training
24126968,15.84,522,21.21,15.91,1.45,48.92,61.51,0.0,0.0,0.0,0.0,training
24127008,32.03,777,24.97,21.39,6.03,133.51,162.97,0.0,0.0,0.0,0.0,training
24126959,10.14,2681,7.76,6.86,0.91,15.33,20.69,0.0,0.0,0.0,0.0,training
24127007,29.52,685,25.79,21.18,5.82,117.33,145.56,0.0,0.0,0.0,0.0,training
24127005,24.03,619,24.29,19.41,3.85,87.91,109.24,0.0,0.0,0.0,0.0,training
24126895,28.95,590,27.27,21.82,5.38,115.44,143.03,0.0,0.0,0.0,0.0,training
24126982,27.09,745,23.69,19.79,5.44,99.7,124.72,0.0,0.0,0.0,0.0,training
24126988,17.69,616,21.02,16.06,2.21,55.34,69.84,0.0,0.0,0.0,0.0,training
24126989,21.99,464,26.75,21.54,4.36,85.43,106.53,0.0,0.0,0.0,0.0,training
24126991,30.1,490,30.13,23.76,5.59,127.94,157.35,0.0,0.0,0.0,0.0,training
24126992,34.24,635,28.51,23.21,6.84,143.68,177.18,0.0,0.0,0.0,0.0,training
24127003,33.01,602,29.01,22.94,6.59,134.47,166.88,0.0,0.0,0.0,0.0,training
24126993,23.19,423,28.51,23.27,4.79,98.55,121.43,0.0,0.0,0.0,0.0,training
24129283,20.12,1950,13.55,13.69,3.36,60.08,73.25,0.0,0.0,0.0,0.0,training
24126942,16.67,640,19.68,16.94,2.62,57.55,71.0,0.0,0.0,0.0,0.0,training
24126946,24.79,815,21.67,17.83,4.0,83.99,105.12,0.0,0.0,0.0,0.0,training
24126948,26.11,1447,16.58,15.07,3.76,79.11,97.93,0.0,0.0,0.0,0.0,training
24126972,24.88,1143,18.38,17.83,4.69,93.02,112.07,0.0,0.0,0.0,0.0,training
24126901,35.32,549,30.65,24.93,6.56,160.59,195.11,0.0,0.0,0.0,0.0,training
24126909,29.61,491,29.93,23.88,5.41,125.5,154.05,0.0,0.0,0.0,0.0,training
24126971,23.58,1275,16.74,15.59,4.33,76.45,94.28,0.0,0.0,0.0,0.0,training
24126906,25.61,757,22.67,18.41,4.03,88.69,110.81,0.0,0.0,0.0,0.0,training
24126976,49.52,709,33.41,26.75,6.43,241.29,284.55,0.0,0.0,0.0,0.0,training
24126975,31.92,625,28.15,22.27,6.19,131.58,162.5,0.0,0.0,0.0,0.0,training
24127069,5.3,5893,5.56,4.35,0.97,5.66,9.29,0.0,0.0,0.0,0.0,training
24127070,23.51,529,25.94,20.81,4.11,90.04,111.7,0.0,0.0,0.0,0.0,training
24127137,10.74,1177,11.83,9.66,1.69,21.69,29.17,0.0,0.0,0.0,0.0,training
24127072,32.85,1496,18.16,16.69,6.39,112.8,139.37,0.0,0.0,0.0,0.0,training
24127073,18.34,607,21.34,15.81,2.14,55.79,71.05,0.0,0.0,0.0,0.0,training
24127074,17.48,1752,12.53,9.93,2.11,34.02,45.79,0.0,0.0,0.0,0.0,training
24127075,19.62,1084,16.47,13.71,3.19,52.41,67.73,0.0,0.0,0.0,0.0,training
24127076,18.39,1310,14.72,12.49,3.3,45.2,59.33,0.0,0.0,0.0,0.0,training
24127080,29.47,1551,17.14,16.57,5.27,101.51,123.32,0.0,0.0,0.0,0.0,training
24127081,32.4,780,25.36,20.55,6.22,121.36,151.59,0.0,0.0,0.0,0.0,training
24127138,21.58,1222,16.26,13.39,2.48,55.12,70.66,0.0,0.0,0.0,0.0,training
24127014,19.19,620,23.16,18.94,3.33,68.61,85.73,0.0,0.0,0.0,0.0,training
24127032,27.25,910,21.53,17.71,4.13,91.74,114.51,0.0,0.0,0.0,0.0,training
24127020,19.64,286,31.25,24.09,2.52,83.97,101.62,0.0,0.0,0.0,0.0,training
24127105,19.69,1817,13.61,12.87,3.07,52.21,65.48,0.0,0.0,0.0,0.0,training
24127106,35.21,466,33.11,25.92,6.57,157.37,192.32,0.0,0.0,0.0,0.0,training
24129139,25.33,505,27.63,22.19,5.04,100.59,125.17,0.0,0.0,0.0,0.0,training
28166582,19.31,1081,16.32,13.34,2.16,49.24,63.24,0.0,0.0,0.0,0.0,training
24129122,21.72,823,20.3,16.76,3.63,70.31,88.54,0.0,0.0,0.0,0.0,training
24129140,19.55,831,18.48,16.07,3.17,61.3,76.88,0.0,0.0,0.0,0.0,training
24126940,30.67,983,22.0,18.07,4.4,106.44,131.9,0.0,0.0,0.0,0.0,training
24126977,25.34,910,20.68,17.2,3.64,84.21,104.85,0.0,0.0,0.0,0.0,training
24126978,34.14,757,26.3,21.61,6.63,137.63,170.06,0.0,0.0,0.0,0.0,training
24126981,7.75,154,26.72,21.37,1.08,30.36,37.23,0.0,0.0,0.0,0.0,training
24127047,22.2,1480,15.45,12.89,2.84,56.57,72.45,0.0,0.0,0.0,0.0,training
24127049,25.05,1271,17.17,16.48,4.19,87.13,105.4,0.0,0.0,0.0,0.0,training
24127050,27.69,1676,16.28,14.8,3.88,82.28,101.95,0.0,0.0,0.0,0.0,training
24127052,13.72,975,14.66,11.36,2.08,31.28,41.63,0.0,0.0,0.0,0.0,training
24127091,32.76,662,27.26,21.79,4.41,131.25,159.94,0.0,0.0,0.0,0.0,training
24127055,19.54,616,22.05,17.61,3.1,64.66,81.6,0.0,0.0,0.0,0.0,training
24127056,31.9,1717,16.62,16.19,5.78,109.55,133.0,0.0,0.0,0.0,0.0,training
24127062,28.08,803,23.22,18.95,4.94,100.12,125.2,0.0,0.0,0.0,0.0,training
24127057,24.63,1718,15.32,13.47,3.19,66.69,83.76,0.0,0.0,0.0,0.0,training
24127060,27.54,1504,16.75,15.13,4.03,83.94,103.95,0.0,0.0,0.0,0.0,training
24127063,24.3,1267,17.27,15.34,4.43,74.61,93.71,0.0,0.0,0.0,0.0,training
24127064,30.56,1103,20.51,17.14,4.06,100.79,125.2,0.0,0.0,0.0,0.0,training
24127065,19.42,1277,15.33,13.66,3.42,54.18,68.81,0.0,0.0,0.0,0.0,training
24127140,8.53,2256,7.54,7.27,1.05,13.59,18.39,0.0,0.0,0.0,0.0,training
24127068,26.51,826,23.39,18.91,4.69,94.49,118.04,0.0,0.0,0.0,0.0,training
24129071,21.94,665,22.44,18.13,3.8,75.05,94.45,0.0,0.0,0.0,0.0,training
24129073,25.36,924,20.52,17.34,3.89,86.32,107.04,0.0,0.0,0.0,0.0,training
24129075,20.11,655,21.55,16.86,2.25,64.08,80.35,0.0,0.0,0.0,0.0,training
24129076,17.1,429,24.3,18.18,1.79,58.53,72.91,0.0,0.0,0.0,0.0,training
24129064,23.09,783,21.24,17.38,3.74,75.81,95.42,0.0,0.0,0.0,0.0,training
24129067,32.07,1257,20.11,17.29,5.58,109.86,136.42,0.0,0.0,0.0,0.0,training
24126933,23.83,852,20.8,17.58,4.31,78.96,99.39,0.0,0.0,0.0,0.0,training
28166579,25.82,947,20.59,17.43,4.34,89.24,110.81,0.0,0.0,0.0,0.0,training
24126937,16.1,612,20.04,16.04,2.03,50.81,63.61,0.0,0.0,0.0,0.0,training
24126941,21.69,1412,15.56,13.56,3.84,58.77,75.35,0.0,0.0,0.0,0.0,training
24126944,23.28,1178,17.36,14.75,3.9,67.75,86.17,0.0,0.0,0.0,0.0,training
24126945,30.79,1141,20.73,17.33,5.47,105.76,132.21,0.0,0.0,0.0,0.0,training
24129051,19.22,1993,12.26,10.6,2.37,40.44,52.75,0.0,0.0,0.0,0.0,training
24129048,6.47,1797,7.6,6.91,1.01,9.25,13.26,0.0,0.0,0.0,0.0,training
24127143,31.04,1042,21.31,18.18,4.29,106.83,131.89,0.0,0.0,0.0,0.0,training
24127145,36.25,487,32.85,26.01,5.47,164.68,198.21,0.0,0.0,0.0,0.0,training
24127146,28.56,821,23.16,19.05,4.41,102.55,127.08,0.0,0.0,0.0,0.0,training
24127147,31.28,498,30.95,23.53,5.77,127.74,158.21,0.0,0.0,0.0,0.0,training
24127151,36.43,605,29.84,23.57,5.72,153.5,187.18,0.0,0.0,0.0,0.0,training
24127123,24.82,739,22.78,19.19,4.85,89.01,111.44,0.0,0.0,0.0,0.0,training
24127124,7.39,1859,10.99,9.14,1.06,13.68,18.66,0.0,0.0,0.0,0.0,training
24127131,21.99,544,24.99,20.19,4.35,79.99,100.7,0.0,0.0,0.0,0.0,training
24127155,22.59,1038,18.3,15.1,3.33,66.87,84.69,0.0,0.0,0.0,0.0,training
24127158,28.49,998,21.07,17.92,3.16,97.25,119.14,0.0,0.0,0.0,0.0,training
24127159,29.04,1165,19.7,17.02,5.54,95.14,119.74,0.0,0.0,0.0,0.0,training
24127085,24.63,607,24.92,19.57,2.41,90.86,110.91,0.0,0.0,0.0,0.0,training
24127160,15.53,541,21.41,16.72,2.66,50.07,63.58,0.0,0.0,0.0,0.0,training
24127161,28.8,715,25.29,19.92,2.98,107.29,130.86,0.0,0.0,0.0,0.0,training
24127165,31.74,1190,20.33,17.59,5.77,108.84,135.64,0.0,0.0,0.0,0.0,training
24127166,25.37,727,22.8,18.37,2.5,88.54,108.72,0.0,0.0,0.0,0.0,training
24127167,21.84,1549,15.5,14.11,3.56,63.76,79.5,0.0,0.0,0.0,0.0,training
24127168,14.92,704,18.11,14.76,2.77,43.38,55.9,0.0,0.0,0.0,0.0,training
24127169,19.48,2045,12.89,12.41,3.24,50.14,63.18,0.0,0.0,0.0,0.0,training
24127174,29.19,639,26.78,21.01,5.54,113.47,141.26,0.0,0.0,0.0,0.0,training
24127176,25.56,1349,16.85,16.07,4.63,86.78,105.82,0.0,0.0,0.0,0.0,training
24127178,31.53,1258,19.58,17.15,5.05,106.38,131.64,0.0,0.0,0.0,0.0,training
24127179,22.73,572,24.62,19.36,3.16,81.23,101.0,0.0,0.0,0.0,0.0,training
24128124,24.76,634,24.62,20.14,3.87,94.52,116.19,0.0,0.0,0.0,0.0,training
24128061,14.36,1672,12.47,9.54,1.79,27.01,36.86,0.0,0.0,0.0,0.0,training
